,filename,rouge-1_r,rouge-1_p,rouge-1_f,rouge-2_r,rouge-2_p,rouge-2_f,rouge-l_r,rouge-l_p,rouge-l_f
0,001.txt,0.31932773109243695,0.7307692307692307,0.44444444021203117,0.1358695652173913,0.4032258064516129,0.2032520287500827,0.3025210084033613,0.6923076923076923,0.4210526273465339
1,002.txt,0.2018348623853211,0.4,0.26829267846891736,0.08024691358024691,0.22413793103448276,0.11818181429917368,0.1926605504587156,0.38181818181818183,0.2560975565176979
2,003.txt,0.24675324675324675,0.8636363636363636,0.38383838038159374,0.14732142857142858,0.6875,0.24264705591695504,0.22077922077922077,0.7727272727272727,0.34343433997755335
3,004.txt,0.3717948717948718,0.8285714285714286,0.513274332007205,0.2761904761904762,0.7435897435897436,0.40277777382812513,0.358974358974359,0.8,0.49557521696295725
4,005.txt,0.21022727272727273,0.8222222222222222,0.3348416257160992,0.13962264150943396,0.7115384615384616,0.23343848306182768,0.21022727272727273,0.8222222222222222,0.3348416257160992
5,006.txt,0.09090909090909091,0.25806451612903225,0.1344537776597699,0.016129032258064516,0.05405405405405406,0.024844716956908035,0.09090909090909091,0.25806451612903225,0.1344537776597699
6,007.txt,0.13793103448275862,0.625,0.22598869760286,0.0660377358490566,0.4,0.11336032145421172,0.12413793103448276,0.5625,0.2033898275463628
7,008.txt,0.11515151515151516,0.5588235294117647,0.19095477103608502,0.054474708171206226,0.4117647058823529,0.09621992920773259,0.11515151515151516,0.5588235294117647,0.19095477103608502
8,009.txt,0.21212121212121213,1.0,0.3499999971125,0.16033755274261605,0.95,0.27436822857589704,0.21212121212121213,1.0,0.3499999971125
9,010.txt,0.44,0.5945945945945946,0.5057471215484212,0.2638888888888889,0.4523809523809524,0.33333332867959375,0.44,0.5945945945945946,0.5057471215484212
10,011.txt,0.36,1.0,0.5294117608131489,0.2589928057553957,0.972972972972973,0.4090909057702738,0.36,1.0,0.5294117608131489
11,012.txt,0.1557377049180328,0.5757575757575758,0.24516128697107187,0.08287292817679558,0.39473684210526316,0.13698629850169936,0.1557377049180328,0.5757575757575758,0.24516128697107187
12,013.txt,0.13812154696132597,0.6756756756756757,0.2293577953467722,0.07142857142857142,0.4418604651162791,0.12297734388244785,0.13259668508287292,0.6486486486486487,0.2201834834201667
13,014.txt,0.20454545454545456,0.7714285714285715,0.3233532901000395,0.10606060606060606,0.5526315789473685,0.17796609899310545,0.20454545454545456,0.7714285714285715,0.3233532901000395
14,015.txt,0.36666666666666664,0.5365853658536586,0.4356435595333791,0.2465753424657534,0.4090909090909091,0.3076923029994887,0.35,0.5121951219512195,0.4158415793353593
15,016.txt,0.22077922077922077,0.5666666666666667,0.31775700531050755,0.11320754716981132,0.375,0.17391303991598414,0.22077922077922077,0.5666666666666667,0.31775700531050755
16,017.txt,0.2222222222222222,0.3076923076923077,0.2580645112591052,0.078125,0.10869565217391304,0.09090908604297547,0.2222222222222222,0.3076923076923077,0.2580645112591052
17,018.txt,0.22535211267605634,0.48484848484848486,0.3076923033598373,0.14772727272727273,0.3170731707317073,0.20155038326062144,0.2112676056338028,0.45454545454545453,0.28846153412906805
18,019.txt,0.19205298013245034,0.8529411764705882,0.31351351051336745,0.09274193548387097,0.6216216216216216,0.16140350651252694,0.18543046357615894,0.8235294117647058,0.30270269970255664
19,020.txt,0.19117647058823528,0.6666666666666666,0.29714285367902044,0.12953367875647667,0.5813953488372093,0.21186440379955473,0.19117647058823528,0.6666666666666666,0.29714285367902044
20,021.txt,0.2727272727272727,0.9767441860465116,0.42639593567368395,0.21226415094339623,0.9183673469387755,0.3448275831570295,0.2662337662337662,0.9534883720930233,0.4162436514097245
21,022.txt,0.1259259259259259,0.6538461538461539,0.21118012151537363,0.07608695652173914,0.4666666666666667,0.13084111908463625,0.11851851851851852,0.6153846153846154,0.19875776126692649
22,023.txt,0.22105263157894736,0.6774193548387096,0.33333332962333084,0.12403100775193798,0.47058823529411764,0.19631901510331592,0.2,0.6129032258064516,0.3015872978772991
23,024.txt,0.1411764705882353,0.36363636363636365,0.20338982647945997,0.045871559633027525,0.1388888888888889,0.06896551350868035,0.1411764705882353,0.36363636363636365,0.20338982647945997
24,025.txt,0.37333333333333335,0.9655172413793104,0.538461534439719,0.28865979381443296,0.875,0.434108523401238,0.36,0.9310344827586207,0.5192307652089497
25,026.txt,0.13414634146341464,0.4583333333333333,0.20754716630829478,0.018867924528301886,0.07692307692307693,0.030303027139577925,0.13414634146341464,0.4583333333333333,0.20754716630829478
26,027.txt,0.15151515151515152,0.5813953488372093,0.24038461210475226,0.06719367588932806,0.3541666666666667,0.1129568079504642,0.1393939393939394,0.5348837209302325,0.22115384287398304
27,028.txt,0.36585365853658536,0.6521739130434783,0.4687499953955078,0.14814814814814814,0.3076923076923077,0.1999999956125001,0.35365853658536583,0.6304347826086957,0.4531249953955078
28,029.txt,0.13846153846153847,0.6,0.224999996953125,0.06936416184971098,0.41379310344827586,0.11881187872904621,0.13076923076923078,0.5666666666666667,0.21249999695312505
29,030.txt,0.23357664233576642,0.9696969696969697,0.37647058510657444,0.1907514450867052,0.9428571428571428,0.3173076895085984,0.23357664233576642,0.9696969696969697,0.37647058510657444
30,031.txt,0.2109375,1.0,0.34838709389719047,0.13227513227513227,0.8928571428571429,0.23041474429612013,0.2109375,1.0,0.34838709389719047
31,032.txt,0.19626168224299065,0.65625,0.302158269836965,0.08783783783783784,0.3611111111111111,0.141304344678639,0.16822429906542055,0.5625,0.2589928022110657
32,033.txt,0.3103448275862069,1.0,0.47368420691135743,0.2275449101796407,0.9743589743589743,0.36893203576538797,0.3103448275862069,1.0,0.47368420691135743
33,034.txt,0.14285714285714285,0.40476190476190477,0.2111801203672698,0.07142857142857142,0.2608695652173913,0.1121495293353132,0.13445378151260504,0.38095238095238093,0.19875776011882265
34,035.txt,0.25316455696202533,0.625,0.36036035625679735,0.12871287128712872,0.34210526315789475,0.18705035573935105,0.25316455696202533,0.625,0.36036035625679735
35,036.txt,0.2803738317757009,0.6521739130434783,0.3921568585398778,0.14935064935064934,0.45098039215686275,0.22439024016466397,0.2803738317757009,0.6521739130434783,0.3921568585398778
36,037.txt,0.4383561643835616,0.9142857142857143,0.5925925882115913,0.32323232323232326,0.7804878048780488,0.45714285300102053,0.4383561643835616,0.9142857142857143,0.5925925882115913
37,038.txt,0.30434782608695654,0.8484848484848485,0.44799999611392005,0.18796992481203006,0.6944444444444444,0.29585798481285663,0.30434782608695654,0.8484848484848485,0.44799999611392005
38,039.txt,0.20261437908496732,0.7045454545454546,0.31472080871344277,0.09871244635193133,0.4791666666666667,0.1637010647828675,0.19607843137254902,0.6818181818181818,0.30456852444948335
39,040.txt,0.17901234567901234,0.7073170731707317,0.285714282490718,0.11836734693877551,0.58,0.19661016667624248,0.17901234567901234,0.7073170731707317,0.285714282490718
40,041.txt,0.1686046511627907,0.725,0.27358490259878965,0.11553784860557768,0.6590909090909091,0.1966101669534042,0.1686046511627907,0.725,0.27358490259878965
41,042.txt,0.09803921568627451,0.5,0.16393442348830964,0.02727272727272727,0.1935483870967742,0.04780876277519414,0.09803921568627451,0.5,0.16393442348830964
42,043.txt,0.4457831325301205,0.9736842105263158,0.6115702436254354,0.3333333333333333,0.9,0.4864864825420015,0.43373493975903615,0.9473684210526315,0.5950413180056008
43,044.txt,0.43103448275862066,0.9259259259259259,0.588235289782699,0.32051282051282054,0.8064516129032258,0.4587155922599109,0.43103448275862066,0.9259259259259259,0.588235289782699
44,045.txt,0.10891089108910891,0.3548387096774194,0.16666666307277325,0.02040816326530612,0.09090909090909091,0.033333330338889154,0.09900990099009901,0.3225806451612903,0.15151514792125811
