,filename,rouge-1_r,rouge-1_p,rouge-1_f,rouge-2_r,rouge-2_p,rouge-2_f,rouge-l_r,rouge-l_p,rouge-l_f
0,001.txt,0.9915966386554622,0.5108225108225108,0.6742857097977144,0.9510869565217391,0.43424317617866004,0.5962521251678474,0.9915966386554622,0.5108225108225108,0.6742857097977144
1,002.txt,0.9908256880733946,0.48868778280542985,0.6545454501213959,0.9629629629629629,0.4482758620689655,0.6117647015474049,0.9908256880733946,0.48868778280542985,0.6545454501213959
2,003.txt,1.0,0.532871972318339,0.6952595891437918,0.96875,0.44650205761316875,0.61126760131466,1.0,0.532871972318339,0.6952595891437918
3,004.txt,1.0,0.5064935064935064,0.6724137886400119,0.9523809523809523,0.42735042735042733,0.5899704971989453,1.0,0.5064935064935064,0.6724137886400119
4,005.txt,1.0,0.624113475177305,0.7685589472328903,0.9660377358490566,0.5553145336225597,0.70523415514404,1.0,0.624113475177305,0.7685589472328903
5,006.txt,0.9886363636363636,0.4416243654822335,0.6105263115208373,0.9596774193548387,0.371875,0.5360360320103889,0.9886363636363636,0.4416243654822335,0.6105263115208373
6,007.txt,0.993103448275862,0.508833922261484,0.6728971917814875,0.9669811320754716,0.43248945147679324,0.5976676342132955,0.993103448275862,0.508833922261484,0.6728971917814875
7,008.txt,0.9939393939393939,0.5342019543973942,0.6949152496898342,0.953307392996109,0.481335952848723,0.6396866796142521,0.9939393939393939,0.5342019543973942,0.6949152496898342
8,009.txt,1.0,0.4984894259818731,0.6653225762052063,0.9578059071729957,0.442495126705653,0.6053333290104533,1.0,0.4984894259818731,0.6653225762052063
9,010.txt,1.0,0.43103448275862066,0.6024096343446074,0.9722222222222222,0.38461538461538464,0.5511810982999567,1.0,0.43103448275862066,0.6024096343446074
10,011.txt,1.0,0.5714285714285714,0.7272727226446282,0.9640287769784173,0.5037593984962406,0.6617283905533913,1.0,0.5714285714285714,0.7272727226446282
11,012.txt,1.0,0.49795918367346936,0.6648501318014092,0.9502762430939227,0.4236453201970443,0.5860306601298434,1.0,0.49795918367346936,0.6648501318014092
12,013.txt,1.0,0.567398119122257,0.72399999538088,0.9736842105263158,0.4805194805194805,0.6434782564446125,1.0,0.567398119122257,0.72399999538088
13,014.txt,0.9924242424242424,0.4781021897810219,0.6453201926559733,0.9545454545454546,0.43448275862068964,0.5971563938051707,0.9924242424242424,0.4781021897810219,0.6453201926559733
14,015.txt,1.0,0.5309734513274337,0.6936416139663872,0.958904109589041,0.4794520547945205,0.6392694019482497,1.0,0.5309734513274337,0.6936416139663872
15,016.txt,1.0,0.5310344827586206,0.6936936891628115,0.9716981132075472,0.4790697674418605,0.6417445438631225,1.0,0.5310344827586206,0.6936936891628115
16,017.txt,1.0,0.4576271186440678,0.6279069724364521,0.96875,0.3803680981595092,0.5462555025589475,1.0,0.4576271186440678,0.6279069724364521
17,018.txt,1.0,0.40804597701149425,0.579591832618409,0.9545454545454546,0.3387096774193548,0.49999999613378693,1.0,0.40804597701149425,0.579591832618409
18,019.txt,1.0,0.4934640522875817,0.6608315054220035,0.9758064516129032,0.42680776014109345,0.5938650264408596,1.0,0.4934640522875817,0.6608315054220035
19,020.txt,1.0,0.42902208201892744,0.6004414969019878,0.9585492227979274,0.3544061302681992,0.5174825135411609,1.0,0.42902208201892744,0.6004414969019878
20,021.txt,1.0,0.5116279069767442,0.6769230724449705,0.9669811320754716,0.43803418803418803,0.6029411721792387,1.0,0.5116279069767442,0.6769230724449705
21,022.txt,0.9925925925925926,0.5275590551181102,0.6889460108920772,0.9565217391304348,0.43137254901960786,0.5945945903104456,0.9925925925925926,0.5275590551181102,0.6889460108920772
