,filename,rouge-1_r,rouge-1_p,rouge-1_f,rouge-2_r,rouge-2_p,rouge-2_f,rouge-l_r,rouge-l_p,rouge-l_f
0,001.txt,0.18487394957983194,0.8461538461538461,0.30344827291890614,0.09239130434782608,0.6071428571428571,0.16037735619793522,0.18487394957983194,0.8461538461538461,0.30344827291890614
1,002.txt,0.09174311926605505,0.35714285714285715,0.14598539820768294,0.037037037037037035,0.16666666666666666,0.060606057630854145,0.08256880733944955,0.32142857142857145,0.1313868580616976
2,003.txt,0.16233766233766234,0.9259259259259259,0.27624309138426795,0.08928571428571429,0.6666666666666666,0.15748031287742575,0.16233766233766234,0.9259259259259259,0.27624309138426795
3,004.txt,0.2948717948717949,0.7419354838709677,0.4220183445534888,0.21904761904761905,0.575,0.3172413753151011,0.2948717948717949,0.7419354838709677,0.4220183445534888
4,005.txt,0.11363636363636363,0.6451612903225806,0.1932367124292282,0.04905660377358491,0.3611111111111111,0.08637873543559128,0.11363636363636363,0.6451612903225806,0.1932367124292282
5,006.txt,0.2840909090909091,0.78125,0.4166666627555556,0.18548387096774194,0.575,0.280487801189768,0.2840909090909091,0.78125,0.4166666627555556
6,007.txt,0.11724137931034483,0.5862068965517241,0.19540229607279694,0.02830188679245283,0.18181818181818182,0.04897958950570607,0.11724137931034483,0.5862068965517241,0.19540229607279694
7,008.txt,0.12727272727272726,0.6,0.2099999971125,0.054474708171206226,0.3888888888888889,0.09556313777632826,0.12727272727272726,0.6,0.2099999971125
8,009.txt,0.13333333333333333,0.8461538461538461,0.23036648979468766,0.08016877637130802,0.6551724137931034,0.1428571409144101,0.13333333333333333,0.8461538461538461,0.23036648979468766
9,010.txt,0.2,0.3125,0.24390243426531835,0.013888888888888888,0.02702702702702703,0.0183486193687411,0.2,0.3125,0.24390243426531835
10,011.txt,0.27,0.6923076923076923,0.3884892045960355,0.15827338129496402,0.5,0.24043715481740274,0.27,0.6923076923076923,0.3884892045960355
11,012.txt,0.20491803278688525,0.8064516129032258,0.32679738238967926,0.1270718232044199,0.6216216216216216,0.2110091714935612,0.20491803278688525,0.8064516129032258,0.32679738238967926
12,013.txt,0.13812154696132597,0.8064516129032258,0.23584905410688858,0.07142857142857142,0.5,0.12499999781250003,0.13812154696132597,0.8064516129032258,0.23584905410688858
13,014.txt,0.12878787878787878,0.7727272727272727,0.2207792183302412,0.07575757575757576,0.5555555555555556,0.13333333122133334,0.12121212121212122,0.7272727272727273,0.2077922053432282
14,015.txt,0.4666666666666667,0.7777777777777778,0.5833333286458334,0.3424657534246575,0.5813953488372093,0.431034478093044,0.43333333333333335,0.7222222222222222,0.5416666619791668
15,016.txt,0.2077922077922078,0.5925925925925926,0.307692303848003,0.14150943396226415,0.5,0.2205882318555364,0.2077922077922078,0.5925925925925926,0.307692303848003
16,017.txt,0.24074074074074073,0.65,0.35135134740686635,0.09375,0.3,0.14285713922902502,0.24074074074074073,0.65,0.35135134740686635
